Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2016-07-07,1024.75,1024.75,1087.0,1023.0,1073.25,-48.5,-0.0451898439319823,1.2254110612854994,64.0,1.0625610948191593,0.05963195900302819,1093.2,1107.4166666666667,1116.9833333333333,1074.2131605924076,-63.490929909848305,25.945143959303532,37.809858815191824,2.2157142475269467,0.5510631264834769,35.52809147960538,41.74000000000001
2016-07-06,1073.25,1075.0,1081.5,1040.5,1077.25,-4.0,-0.0037131585054537017,1.2834080717488774,41.0,1.039404132628544,0.03805987468090044,1110.75,1115.0,1117.9833333333333,1098.9447408886115,-29.795571238035357,38.28250722752154,43.74221624313597,27.36308919629269,0.7482087701060345,42.7985937892677,28.4
2016-07-05,1077.25,1079.0,1120.0,1073.5,1137.5,-60.25,-0.052967032967032965,1.288191330343795,46.5,1.0433162552398696,0.04087912087912088,1120.15,1120.0666666666666,1117.4916666666666,1111.7921113329173,-11.873023753787585,43.80629722381869,46.47207075094318,38.4747501695697,0.7692856855722648,43.48001523131319,20.21999999999998
2016-07-01,1137.5,1137.0,1157.5,1136.25,1153.25,-15.75,-0.013657056145675266,1.3602391629297443,21.25,1.0187018701870187,0.018426186863212658,1125.65,1125.5166666666667,1117.3916666666667,1129.063166999376,16.18433284882468,63.018227705416415,47.804957514505425,93.44476808723839,1.2694491127229919,55.936443148524575,15.780000000000019
2016-06-30,1153.25,1152.0,1160.75,1092.0,1112.5,40.75,0.036629213483146066,1.379073243647233,68.75,1.0629578754578755,0.06179775280898876,1113.85,1127.2,1115.1916666666666,1124.8447504990643,11.124057599819803,57.700146090702525,40.19832241904993,92.70379343400771,1.5073377380159643,60.11706022534915,18.319999999999983
2016-06-29,1112.5,1112.0,1125.5,1108.0,1120.25,-7.75,-0.00691809863869672,1.3303437967115082,17.5,1.0157942238267148,0.015621513055121624,1103.5,1127.1666666666667,1112.5916666666667,1110.6421257485965,-11.862192898281709,40.799510920756326,31.447410583223633,59.50371159582172,1.0571219176547537,51.38839407534669,10.8
2016-06-28,1120.25,1118.0,1136.75,1100.0,1104.75,15.5,0.014030323602625029,1.3396113602391613,36.75,1.033409090909091,0.03326544467073999,1104.35,1129.6833333333334,1111.5166666666667,1109.7131886228947,-15.192288722524548,35.05547553146129,26.771360414457288,51.62370576546929,1.1484312482286032,53.45441001081571,11.480000000000018
2016-06-27,1104.75,1105.0,1110.75,1075.75,1078.5,26.25,0.024339360222531293,1.3210762331838548,35.0,1.0325354403904252,0.03245248029670839,1102.45,1131.0833333333333,1109.6583333333333,1104.444782934342,-26.4783466306282,21.37406297039455,22.629302855955284,18.863583199273087,0.9880197874181744,49.698689805361944,9.95999999999999
2016-06-24,1078.5,1080.25,1109.5,1072.5,1101.5,-23.0,-0.02088061733999092,1.289686098654707,37.0,1.0344988344988344,0.033590558329550615,1108.05,1133.3166666666666,1108.3333333333333,1104.2921744015127,-30.536211271568348,12.921628580220904,23.256922798735648,-7.7489598568085825,0.7357598288856452,42.38834294016366,14.440000000000008
2016-06-23,1101.5,1102.0,1124.0,1100.5,1116.75,-15.25,-0.0136556973360197,1.3171898355754843,23.5,1.0213539300318037,0.021043205730915605,1122.0,1136.8833333333334,1108.1166666666666,1117.188261602269,-12.676207774231692,15.883900596278878,28.42456990799302,-9.19743802714941,0.9257636247615277,48.07254705915257,14.8
2016-06-22,1116.75,1116.25,1123.5,1103.0,1110.75,6.0,0.0054017555705604325,1.3354260089686085,20.5,1.0185856754306437,0.01845599819941481,1125.55,1139.7333333333333,1107.3416666666667,1125.0323924034035,-1.0306591806248093,23.24276051540957,34.694904563850095,0.33847241852852505,1.1007825753576228,52.39869124343975,11.95999999999999
2016-06-21,1110.75,1113.25,1140.75,1110.0,1132.75,-22.0,-0.019421761200617966,1.328251121076232,30.75,1.0277027027027028,0.02714632531450011,1129.9,1138.6,1106.25,1129.1735886051051,5.856173286750817,26.605882514856102,40.42097658807035,-1.0243056315724033,1.0317138110185962,50.78046944521917,11.919999999999982
2016-06-20,1132.75,1133.0,1143.25,1126.0,1148.25,-15.5,-0.013498802525582408,1.35455904334828,17.25,1.0153197158081706,0.015022860875244938,1137.6,1136.45,1103.4416666666666,1138.3853829076577,22.444358189122987,38.30625966972005,47.32852362467748,20.261731759805187,1.3489323910095576,57.42746773694045,9.280000000000019
2016-06-17,1148.25,1134.5,1149.0,1116.5,1119.25,29.0,0.025910207728389548,1.3730941704035862,32.5,1.0291088222122704,0.029037301764574492,1142.85,1133.3666666666666,1100.175,1141.2030743614864,30.329827581830635,42.33593271445662,51.8396556021562,23.328486939057456,1.688596433553828,62.80587195906584,11.180000000000017
2016-06-16,1119.25,1119.0,1142.75,1108.25,1138.5,-19.25,-0.016908212560386472,1.3384155455904323,34.5,1.0311301601624183,0.030303030303030304,1145.75,1128.8,1095.6416666666667,1137.6796115422296,28.384460458211528,38.812541046993566,56.59151704600598,3.2545890489687253,1.251133755549765,55.57793944785911,13.5
2016-06-15,1138.5,1136.0,1156.75,1136.25,1149.25,-10.75,-0.009353926473787253,1.3614349775784742,20.5,1.018041804180418,0.01783772025233848,1152.45,1126.55,1092.8,1146.8944173133443,48.12466049279059,51.42868811370022,65.48100504551219,23.324054250076273,1.713043976062209,63.1410324040737,6.8599999999999905
2016-06-14,1149.25,1149.25,1158.25,1137.25,1159.0,-9.75,-0.008412424503882658,1.3742899850523156,21.0,1.0184655968344691,0.0181190681622088,1154.8,1120.9666666666667,1089.1833333333334,1151.0916259700164,61.98077455892183,68.07045152538903,72.50716351141817,59.19702755333074,2.1186519617438373,67.93486377233206,4.8599999999999905
2016-06-13,1159.0,1159.0,1186.25,1157.0,1162.75,-3.75,-0.0032251128789507633,1.3859491778774276,29.25,1.0252808988764044,0.025155880455815953,1153.2,1114.9166666666667,1085.6666666666667,1152.0124389550247,72.13193731412733,74.70454734458072,74.72551950443273,74.66260302487672,2.6463670831965724,72.5754435254677,6.1400000000000095
2016-06-10,1162.75,1162.0,1184.5,1150.0,1152.75,10.0,0.008674907829104316,1.390433482810163,34.5,1.03,0.02992843201040989,1149.05,1109.2666666666667,1081.3583333333333,1148.518658432537,76.09792961970365,74.53104782099479,74.73600558435874,74.12113229426689,2.9047675359184506,74.39028083486697,7.440000000000009
