Date,Open,High,Low,Close,Adj Close
2018-08-10,1689.319946,1695.790039,1680.77002,1686.800049,1686.800049
2018-08-13,1686.810059,1689.0999760000002,1670.619995,1675.319946,1675.319946
2018-08-14,1676.189941,1694.959961,1676.189941,1692.5799559999998,1692.5799559999998
2018-08-15,1691.5999760000002,1691.5999760000002,1663.530029,1670.670044,1670.670044
2018-08-16,1691.5999760000002,1691.5999760000002,1663.530029,1685.75,1685.75
2018-08-17,1685.449951,1693.709961,1679.969971,1692.949951,1692.949951
2018-08-20,1693.790039,1701.130005,1690.180054,1698.689941,1698.689941
2018-08-21,1698.910034,1722.290039,1698.910034,1718.050049,1718.050049
2018-08-22,1717.75,1723.0100100000002,1715.800049,1722.540039,1722.540039
2018-08-23,1722.300049,1723.410034,1712.9200440000002,1717.050049,1717.050049
2018-08-24,1718.359985,1726.969971,1718.359985,1725.6700440000002,1725.6700440000002
2018-08-27,1727.3299559999998,1737.630005,1727.3299559999998,1728.410034,1728.410034
2018-08-28,1729.069946,1733.449951,1722.359985,1728.4200440000002,1728.4200440000002
2018-08-29,1729.050049,1737.02002,1724.72998,1734.75,1734.75
2018-08-30,1734.3499760000002,1740.660034,1728.8499760000002,1732.3499760000002,1732.3499760000002
2018-08-31,1731.4899899999998,1742.089966,1728.410034,1740.75,1740.75
2018-09-04,1740.800049,1740.800049,1722.199951,1733.380005,1733.380005
2018-09-05,1732.72998,1732.72998,1713.689941,1727.6500239999998,1727.6500239999998
2018-09-06,1728.25,1731.4200440000002,1713.810059,1714.469971,1714.469971
2018-09-07,1713.8299559999998,1722.619995,1706.640015,1713.180054,1713.180054
2018-09-10,1714.890015,1723.810059,1714.4899899999998,1717.469971,1717.469971
2018-09-11,1717.140015,1723.459961,1710.310059,1718.4000239999998,1718.4000239999998
2018-09-12,1718.25,1718.949951,1704.069946,1715.699951,1715.699951
2018-09-13,1716.949951,1722.619995,1711.939941,1714.319946,1714.319946
2018-09-14,1714.4899899999998,1726.0,1712.810059,1721.719971,1721.719971
2018-09-17,1721.660034,1722.280029,1702.709961,1703.550049,1703.550049
2018-09-18,1704.219971,1714.9200440000002,1704.219971,1710.969971,1710.969971
2018-09-19,1710.880005,1717.089966,1700.5100100000002,1702.930054,1702.930054
2018-09-20,1704.709961,1720.209961,1704.709961,1720.180054,1720.180054
2018-09-21,1720.1500239999998,1724.380005,1710.969971,1712.319946,1712.319946
2018-09-24,1711.6700440000002,1711.7399899999998,1697.7600100000002,1705.319946,1705.319946
2018-09-25,1705.4899899999998,1712.0799559999998,1705.4899899999998,1708.810059,1708.810059
2018-09-26,1709.069946,1710.839966,1690.9200440000002,1691.609985,1691.609985
2018-09-27,1691.72998,1697.1700440000002,1689.7399899999998,1690.530029,1690.530029
2018-09-28,1689.839966,1699.780029,1686.9899899999998,1696.569946,1696.569946
2018-10-01,1697.8299559999998,1703.810059,1669.819946,1672.98999,1672.98999
2018-10-02,1672.97998,1674.869995,1653.339966,1656.040039,1656.040039
2018-10-03,1656.310059,1677.170044,1656.310059,1671.290039,1671.290039
2018-10-04,1671.0,1671.0,1643.660034,1646.910034,1646.910034
2018-10-05,1647.25,1651.530029,1618.140015,1632.109985,1632.109985
2018-10-08,1631.199951,1633.859985,1616.660034,1629.52002,1629.52002
2018-10-09,1628.060059,1635.98999,1621.25,1621.869995,1621.869995
2018-10-10,1621.410034,1621.410034,1575.25,1575.410034,1575.410034
2018-10-11,1575.099976,1580.890015,1545.380005,1545.380005,1545.380005
2018-10-12,1546.849976,1567.640015,1530.97998,1546.680054,1546.680054
2018-10-15,1546.680054,1562.300049,1537.550049,1553.089966,1553.089966
2018-10-16,1554.48999,1598.01001,1554.109985,1596.839966,1596.839966
2018-10-17,1596.380005,1596.380005,1571.51001,1589.599976,1589.599976
2018-10-18,1588.73999,1588.73999,1555.569946,1560.75,1560.75
2018-10-19,1560.640015,1569.810059,1538.73999,1542.040039,1542.040039
2018-10-22,1542.420044,1551.359985,1535.780029,1539.5,1539.5
2018-10-23,1536.930054,1537.160034,1501.040039,1526.589966,1526.589966
2018-10-24,1526.560059,1527.709961,1468.459961,1468.699951,1468.699951
2018-10-25,1470.530029,1506.780029,1470.530029,1500.400024,1500.400024
2018-10-26,1500.150024,1501.300049,1459.160034,1483.819946,1483.819946
2018-10-29,1485.199951,1513.280029,1461.650024,1477.310059,1477.310059
2018-10-30,1476.969971,1507.160034,1474.800049,1506.640015,1506.640015
2018-10-31,1508.819946,1526.329956,1508.819946,1511.410034,1511.410034
2018-11-01,1512.680054,1547.140015,1512.680054,1544.97998,1544.97998
2018-11-02,1546.130005,1557.180054,1535.959961,1547.97998,1547.97998
2018-11-05,1548.339966,1554.77002,1534.76001,1547.51001,1547.51001
2018-11-06,1547.099976,1558.859985,1544.650024,1556.099976,1556.099976
2018-11-07,1556.27002,1582.160034,1556.27002,1582.160034,1582.160034
2018-11-08,1581.619995,1586.170044,1573.150024,1578.209961,1578.209961
2018-11-09,1577.040039,1577.040039,1539.920044,1549.48999,1549.48999
2018-11-12,1549.01001,1549.01001,1518.040039,1518.790039,1518.790039
2018-11-13,1519.98999,1536.709961,1513.300049,1514.800049,1514.800049
2018-11-14,1516.079956,1530.619995,1494.920044,1502.51001,1502.51001
2018-11-15,1502.329956,1524.290039,1491.660034,1524.119995,1524.119995
2018-11-16,1523.75,1530.0,1510.410034,1527.530029,1527.530029
2018-11-19,1527.329956,1527.329956,1492.949951,1496.540039,1496.540039
2018-11-20,1496.140015,1496.140015,1465.25,1469.01001,1469.01001
2018-11-21,1469.449951,1499.369995,1469.449951,1488.280029,1488.280029
2018-11-23,1485.72998,1498.650024,1476.810059,1488.680054,1488.680054
2018-11-26,1489.099976,1510.290039,1489.099976,1505.959961,1505.959961
2018-11-27,1505.449951,1505.449951,1491.27002,1492.859985,1492.859985
2018-11-28,1493.670044,1530.709961,1486.339966,1530.380005,1530.380005
2018-11-29,1529.699951,1534.619995,1514.569946,1525.390015,1525.390015
2018-11-30,1524.869995,1535.130005,1519.98999,1533.27002,1533.27002
2018-12-03,1536.329956,1553.339966,1529.530029,1548.959961,1548.959961
2018-12-04,1548.109985,1548.109985,1479.910034,1480.75,1480.75
2018-12-06,1479.160034,1479.160034,1442.829956,1477.410034,1477.410034
2018-12-07,1477.51001,1485.630005,1440.849976,1448.089966,1448.089966
2018-12-10,1448.01001,1449.930054,1422.97998,1443.099976,1443.099976
2018-12-11,1444.290039,1465.76001,1431.880005,1440.130005,1440.130005
2018-12-12,1440.699951,1471.959961,1440.699951,1455.319946,1455.319946
2018-12-13,1455.680054,1460.550049,1431.680054,1432.699951,1432.699951
2018-12-14,1431.819946,1435.390015,1407.109985,1410.810059,1410.810059
2018-12-17,1410.77002,1417.099976,1372.72998,1378.140015,1378.140015
2018-12-18,1379.48999,1399.430054,1373.719971,1377.180054,1377.180054
2018-12-19,1377.209961,1392.920044,1344.150024,1349.22998,1349.22998
2018-12-20,1348.650024,1350.890015,1313.02002,1326.0,1326.0
2018-12-21,1325.869995,1334.76001,1289.48999,1292.089966,1292.089966
2018-12-24,1290.540039,1290.920044,1266.920044,1266.920044,1266.920044
2018-12-26,1268.189941,1330.420044,1268.189941,1329.810059,1329.810059
2018-12-27,1329.790039,1331.97998,1289.319946,1331.819946,1331.819946
2018-12-28,1332.060059,1356.22998,1326.439941,1337.920044,1337.920044
2018-12-31,1338.52002,1348.560059,1329.170044,1348.560059,1348.560059
2019-01-02,1346.109985,1357.77002,1325.180054,1355.910034,1355.910034
2019-01-03,1355.02002,1355.02002,1328.0,1330.829956,1330.829956
2019-01-04,1333.099976,1383.160034,1333.099976,1380.75,1380.75
2019-01-07,1380.839966,1411.900024,1380.839966,1405.369995,1405.369995
2019-01-08,1405.869995,1426.550049,1404.01001,1426.550049,1426.550049
2019-01-09,1427.0,1442.420044,1427.0,1438.810059,1438.810059
2019-01-10,1436.97998,1445.780029,1424.540039,1445.430054,1445.430054
2019-01-11,1444.439941,1448.280029,1437.449951,1447.380005,1447.380005
2019-01-14,1446.5,1446.5,1431.310059,1432.810059,1432.810059
2019-01-15,1432.849976,1445.219971,1432.130005,1445.219971,1445.219971
2019-01-16,1445.910034,1460.310059,1445.910034,1454.699951,1454.699951
2019-01-17,1453.829956,1470.839966,1448.550049,1467.25,1467.25
2019-01-18,1466.689941,1487.209961,1466.689941,1482.5,1482.5
2019-01-22,1479.819946,1479.819946,1451.01001,1457.449951,1457.449951
2019-01-23,1457.72998,1468.47998,1444.969971,1454.26001,1454.26001
2019-01-24,1454.22998,1465.339966,1453.72998,1464.410034,1464.410034
2019-01-25,1466.790039,1484.599976,1466.790039,1482.849976,1482.849976
2019-01-28,1480.280029,1480.280029,1464.77002,1473.540039,1473.540039
2019-01-29,1473.540039,1477.01001,1469.310059,1471.449951,1471.449951
2019-01-30,1473.380005,1490.51001,1467.569946,1486.939941,1486.939941
2019-01-31,1486.640015,1500.73999,1484.819946,1499.420044,1499.420044
2019-02-01,1499.530029,1504.51001,1495.469971,1502.050049,1502.050049
2019-02-04,1501.969971,1517.550049,1500.130005,1517.540039,1517.540039
2019-02-05,1517.920044,1524.209961,1512.719971,1520.22998,1520.22998
2019-02-06,1520.170044,1520.890015,1511.180054,1518.02002,1518.02002
2019-02-07,1516.699951,1516.699951,1494.369995,1505.630005,1505.630005
2019-02-08,1504.170044,1506.599976,1495.119995,1506.390015,1506.390015
2019-02-11,1506.819946,1519.209961,1505.670044,1518.97998,1518.97998
2019-02-12,1520.140015,1538.890015,1520.140015,1538.22998,1538.22998
2019-02-13,1538.290039,1545.73999,1536.25,1542.939941,1542.939941
2019-02-14,1540.98999,1551.390015,1534.589966,1545.109985,1545.109985
2019-02-15,1547.119995,1570.160034,1547.119995,1569.25,1569.25
2019-02-19,1568.540039,1578.22998,1564.849976,1574.469971,1574.469971
2019-02-20,1574.550049,1583.339966,1573.959961,1581.660034,1581.660034
2019-02-21,1581.310059,1581.310059,1569.420044,1575.550049,1575.550049
2019-02-22,1576.310059,1590.099976,1576.310059,1590.060059,1590.060059
2019-02-25,1591.619995,1602.099976,1588.810059,1588.810059,1588.810059
2019-02-26,1588.560059,1589.26001,1577.430054,1577.47998,1577.47998
2019-02-27,1577.199951,1582.060059,1570.599976,1581.050049,1581.050049
2019-02-28,1580.76001,1581.98999,1571.310059,1575.550049,1575.550049
2019-03-01,1577.5,1590.290039,1576.130005,1589.640015,1589.640015
2019-03-04,1590.150024,1594.23999,1564.47998,1575.439941,1575.439941
2019-03-05,1575.689941,1575.849976,1567.670044,1568.280029,1568.280029
2019-03-06,1568.310059,1568.439941,1536.819946,1536.819946,1536.819946
2019-03-07,1536.76001,1536.969971,1521.609985,1523.630005,1523.630005
2019-03-08,1522.530029,1523.23999,1510.650024,1521.880005,1521.880005
2019-03-11,1522.800049,1548.930054,1522.800049,1548.880005,1548.880005
2019-03-12,1549.030029,1555.300049,1545.51001,1549.829956,1549.829956
2019-03-13,1550.27002,1562.670044,1550.27002,1555.880005,1555.880005
2019-03-14,1555.869995,1555.869995,1549.209961,1549.640015,1549.640015
2019-03-15,1550.5,1563.589966,1550.130005,1553.540039,1553.540039
2019-03-18,1553.660034,1569.060059,1552.680054,1563.930054,1563.930054
